H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
CH2         O                       CO          H           H                       1.33E-10     0.00      0.0   10. 2500.  5 A NN
CH2         O                       HCO         H                                   5.01E-11     0.00      0.0 1200. 1812.  5 A NN
HC3S+       E-                      C3S         H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
H3O+        C3S                     HC3S+       H2O                                 1.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        C3S                     HC3S+       CO                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
H2CS+       E-                      CS          H           H                       3.00E-07    -0.50      0.0   10.  300.  5 C DR
H+          H2CS                    H2CS+       H                                   4.70E-09    -0.50      0.0   10.41000.  5 C CE
C6H4+       E-                      C6H2        H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C2H2        C4H                     C6H2        H                                   3.00E-10     0.00      0.0   50.   50.  5 B NN
CH3CHOH+    E-                      CO          CH4         H                       3.00E-07    -0.50      0.0   10.  300.  5 C DR
CH3CHOH+    E-                      H2CO        CH3                                 1.50E-07    -0.50      0.0   10.  300.  5 C DR
H3O+        C2H2                    CH3CHOH+                                        4.50E-12    -1.60      0.0   10.  300.  5 C RA
C2H4+       E-                      C2H2        H           H                       3.70E-07    -0.76      0.0   10.  300.  5 C DR
O           C2H4+                   CH3+        HCO                                 1.08E-10     0.00      0.0   10.41000.  5 B IN
O           C2H4+                   HCO+        CH3                                 8.40E-11     0.00      0.0   10.41000.  5 B IN
H2          C2H2+                   C2H4+                                           2.34E-14    -1.50      0.0   10.  300.  5 A RA
C6H4+       E-                      C6H         H2          H                       1.00E-06    -0.30      0.0   10.  300.  5 C DR
C3H2        H2C3H+                  C6H4+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
C3H2        C3H3+                   C6H4+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
O2                                  O           O                                   1.30E-17     0.00    375.5   10.41000.  2 C CR
C+          O2                      CO+         O                                   3.80E-10     0.00      0.0   10.41000.  5 A IN
C2H         O2                      HCO         CO                                  4.00E-12     0.00      0.0   10. 2500.  5 A NN
CO                                  O           C                                   1.30E-17     1.17    105.0   10.41000.  2 C CR
CF+         E-                      C           F                                   5.20E-08    -0.80      0.0   10.  300.  5 B DR
C3H2+       E-                      C3          H           H                       6.00E-08    -0.50      0.0   10.  300.  5 C DR
C+          O2                      CO          O+                                  6.20E-10     0.00      0.0   10.41000.  5 A IN
He+         O2                      O+          O           He                      1.10E-09     0.00      0.0   10.41000.  5 A IN
H3+         CO                      HOC+        H2                                  2.70E-11     0.00      0.0   10.41000.  5 A IN
C+          C2H2                    C3H+        H                                   2.20E-09     0.00      0.0   10.41000.  5 A IN
CH3+        E-                      CH          H2                                  1.95E-07    -0.50      0.0   10.  300.  5 A DR
C2H4        HCO+                    C2H5+       CO                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
CO2                                 CO          O                                   1.30E-17     0.00    854.0   10.41000.  2 C CR
C2H3+       E-                      C2          H           H2                      1.50E-08    -0.84      0.0   50. 1000.  5 A DR
HCO+        C3H3                    CH3CCH+     CO                                  1.40E-09    -0.50      0.0   10.41000.  5 C IN
C3H5+       E-                      C3H3        H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH3CCH+     E-                      C3H3        H                                   2.56E-06    -0.67      0.0   10.  300.  5 A DR
O2          OCN                     CO2         NO                                  1.32E-12     0.00      0.0  298.  298.  5 A NN
H3+         CH2CN                   CH3CN+      H2                                  3.70E-09    -0.50      0.0   10.41000.  5 C IN
H           HS                      S           H2                                  2.50E-11     0.00      0.0  300. 2500.  5 C NN
OH          S                       SO          H                                   6.60E-11     0.00      0.0  298.  298.  5 A NN
HS+         E-                      S           H                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
HCO2+       E-                      CO          O           H                       8.10E-07    -0.64      0.0   10.  300.  5 A DR
OH          HCO+                    HCO2+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          C3O                     C4+         O                                   3.33E-10    -0.50      0.0   10.41000.  5 C IN
HCO+        H2CCCC                  C4H3+       CO                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
H3O+        H2CCCC                  C4H3+       H2O                                 1.10E-09     0.00      0.0   10.41000.  5 A IN
C4H3+       E-                      H2CCCC      H                                   3.10E-07    -0.50      0.0   10.  300.  5 A DR
O2          S+                      SO+         O                                   1.50E-11     0.00      0.0   10.41000.  5 A IN
He+         C7                      C5+         C2          He                      1.40E-09     0.00      0.0   10.41000.  5 C IN
HOCS+       E-                      OCS         H                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
He+         C7                      C6+         C           He                      1.40E-09     0.00      0.0   10.41000.  5 C IN
C2H2        HCO+                    CO          C2H3+                               1.40E-09     0.00      0.0   10.41000.  5 A IN
H3+         C2H2                    C2H3+       H2                                  3.50E-09     0.00      0.0   10.41000.  5 A IN
H+          O2                      O2+         H                                   2.00E-09     0.00      0.0   10.  300.  5 A CE
NH          S                       NS          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C2H2        S+                      HC2S+       H                                   9.50E-10     0.00      0.0   10.41000.  5 C IN
HCO+        C6H2                    C6H3+       CO                                  1.40E-09    -0.50      0.0   10.41000.  5 C IN
C6H3+       E-                      C6H2        H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C2H4+       E-                      C2H3        H                                   6.16E-08    -0.76      0.0   10.  300.  5 C DR
C2H2        C4H2+                   C6H4+                                           1.00E-09     0.00      0.0   10.  300.  5 C RA
C+          HF                      CF+         H                                   7.20E-09    -0.50      0.0   10.41000.  5 A IN
H2O         F                       HF          OH                                  1.40E-11     0.00      0.0  240.  380.  5 A NN
H2F+        E-                      H2          F                                   3.50E-07    -0.50      0.0   10.  300.  5 B DR
H2          O+                      OH+         H                                   1.70E-09     0.00      0.0   10.41000.  5 A IN
C2H5+       E-                      C2H2        H2          H                       8.12E-08    -0.79      0.0   10.  300.  5 A DR
C2H5+       E-                      C2H3        H           H                       7.56E-08    -0.79      0.0   10.  300.  5 A DR
C2H5+       E-                      CH3         CH2                                 4.76E-08    -0.79      0.0   10.  300.  5 A DR
H3O+        C3H3                    CH3CCH+     H2O                                 2.00E-09    -0.50      0.0   10.41000.  5 C IN
C3H5+       E-                      CH3CCH      H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH4         C2H3+                   C3H5+       H2                                  2.00E-10     0.00      0.0   10.41000.  5 A IN
HCO+        CH3CCH                  C3H5+       CO                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
HCO+        SO                      HSO+        CO                                  7.50E-10    -0.50      0.0   10.41000.  5 C IN
H3+         SO                      HSO+        H2                                  1.90E-09    -0.50      0.0   10.41000.  5 C IN
HSO+        E-                      SO          H                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
HCO+        C3O                     HC3O+       CO                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
HC3O+       E-                      C3O         H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
C4H3+       E-                      C4H         H2                                  3.10E-07    -0.50      0.0   10.  300.  5 A DR
O2+         E-                      O           O                                   1.95E-07    -0.70      0.0   10.  300.  5 A DR
C6H3+       E-                      C6H         H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
O           C2H3                    CH2CO       H                                   1.60E-10     0.00      0.0   10. 2500.  5 A NN
H3+         HF                      H2F+        H2                                  1.20E-08    -0.50      0.0   10.41000.  5 A IN
H2F+        E-                      HF          H                                   3.50E-07    -0.50      0.0   10.  300.  5 B DR
H3O+        CH3CCH                  C3H5+       H2O                                 1.80E-09     0.00      0.0   10.41000.  5 A IN
HCO+        CH2CO                   CH3CO+      CO                                  1.80E-09    -0.50      0.0   10.41000.  5 A IN
H3O+        CH2CO                   CH3CO+      H2O                                 2.00E-09    -0.50      0.0   10.41000.  5 A IN
CH3CO+      E-                      CH2CO       H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
CH3CO+      E-                      CO          CH3                                 3.00E-07    -0.50      0.0   10.  300.  5 C DR
Mg          HCO+                    HCO         Mg+                                 2.90E-09     0.00      0.0   10.41000.  5 C CE
C+          NO                      NO+         C                                   5.20E-10     0.00      0.0   10.41000.  5 A CE
CH          O2                      CO          OH                                  2.60E-11     0.00      0.0  298.  298.  5 A NN
CH3+        E-                      CH          H           H                       2.00E-07    -0.40      0.0   10. 1000.  5 A DR
H2C3H+      E-                      C2H2        CH                                  5.00E-08    -0.50      0.0   10.  300.  5 A DR
H           H3S+                    H2S+        H2                                  6.00E-11     0.00      0.0   10.41000.  5 C IN
S                                   S+          E-                                  1.30E-17     0.00    480.0   10.41000.  2 C CR
C+          SO2                     SO+         CO                                  2.30E-09    -0.50      0.0   10.41000.  5 A IN
C+          C4H                     C5+         H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          H2CCCC                  C5H+        H                                   1.45E-09     0.00      0.0   10.41000.  5 A IN
C5H3+       E-                      C5H         H2                                  4.50E-07    -0.50      0.0   10.  300.  5 B DR
C+          C5H2                    C6+         H2                                  1.20E-09    -0.50      0.0   10.41000.  5 C IN
C4H                                 C4          H                                   1.30E-17     0.00   2500.0   10.41000.  2 A CR
C+          C6H2                    C7+         H2                                  1.20E-09    -0.50      0.0   10.41000.  5 C IN
C7H3+       E-                      C7H         H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C+          C8H2                    C9+         H2                                  1.20E-09    -0.50      0.0   10.41000.  5 C IN
OH          F                       HF          O                                   1.60E-10     0.00      0.0   10.  300.  5 B NN
CH3+        CO                      CH3CO+                                          1.20E-13    -1.30      0.0   10.  300.  5 C RA
Mg+         E-                      Mg                                              2.80E-12    -0.86      0.0   10.  300.  5 C RR
NO+         E-                      O           N                                   4.30E-07    -0.37      0.0   10.  300.  5 A DR
NO                                  NO+         E-                                  1.30E-17     0.00    247.0   10.41000.  2 C CR
NO          O2+                     O2          NO+                                 4.60E-10     0.00      0.0   10.41000.  5 A CE
H3+         SO2                     HSO2+       H2                                  1.30E-09    -0.50      0.0   10.41000.  5 A IN
OH          SO                      SO2         H                                   8.60E-11     0.00      0.0  298.  298.  5 A NN
HSO2+       E-                      SO2         H                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
C5H3+       E-                      C5H2        H                                   4.50E-07    -0.50      0.0   10.  300.  5 B DR
HCO+        C5H2                    C5H3+       CO                                  2.50E-09    -0.50      0.0   10.41000.  5 C IN
C2H         C3H2                    C5H2        H                                   1.06E-10    -0.25      0.0   10.  300.  5 C NN
C7H3+       E-                      C7H2        H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
HCO+        C7H2                    C7H3+       CO                                  2.50E-09    -0.50      0.0   10.41000.  5 C IN
C3H2        C4H2+                   C7H3+       H                                   2.20E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        C8H2                    C8H3+       CO                                  1.40E-09    -0.50      0.0   10.41000.  5 C IN
C8H3+       E-                      C8H2        H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C2H         C6H2                    C8H2        H                                   1.06E-10    -0.25      0.0   10.  300.  5 C NN
HSO2+       E-                      SO          OH                                  1.00E-07    -0.50      0.0   10.  300.  5 C DR
C8H3+       E-                      C8H         H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
