H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
O           NH2                     HNO         H                                   4.56E-11     0.00    -10.0  200. 3000.  5 A NN
C           NH2                     HNC         H                                   3.26E-11    -0.10     -9.0   10.  300.  5 B NN
C           NH2                     HCN         H                                   3.26E-11    -0.10     -9.0   10.  300.  5 B NN
H2          NH+                     N           H3+                                 2.25E-10     0.00      0.0   10.41000.  5 A IN
H2          N+                      NH+         H                                   1.00E-09     0.00     85.0   10.  300.  5 C IN
H2+         N                       NH+         H                                   1.90E-09     0.00      0.0   10.41000.  5 C IN
O           C2H3                    CH2CO       H                                   1.60E-10     0.00      0.0   10. 2500.  5 A NN
C           C2H3                    C3H2        H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C           C2H4                    C3H3        H                                   3.00E-10    -0.11      0.0   15.  300.  5 A NN
CH          CH4                     C2H4        H                                   1.05E-10    -1.04     36.0   23.  300.  5 A NN
CH3CHOH+    E-                      CO          CH4         H                       3.00E-07    -0.50      0.0   10.  300.  5 C DR
CH3CHOH+    E-                      H2CO        CH3                                 1.50E-07    -0.50      0.0   10.  300.  5 C DR
H3O+        C2H2                    CH3CHOH+                                        4.50E-12    -1.60      0.0   10.  300.  5 C RA
CH3CO+      E-                      CO          CH3                                 3.00E-07    -0.50      0.0   10.  300.  5 C DR
CH3CO+      E-                      CH2CO       H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
H3O+        CH2CO                   CH3CO+      H2O                                 2.00E-09    -0.50      0.0   10.41000.  5 A IN
CH3+        CO                      CH3CO+                                          1.20E-13    -1.30      0.0   10.  300.  5 C RA
H3+         CH2CO                   CH3CO+      H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
CH3CHO+     E-                      HCO         CH3                                 1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH3CHO+     E-                      CH2CO       H           H                       1.50E-07    -0.50      0.0   10.  300.  5 C DR
H+          CH3CHO                  CH3CHO+     H                                   3.60E-09    -0.50      0.0   10.  300.  5 C CE
C           CH2CN                   HC3N        H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
N           C2H3                    CH2CN       H                                   6.20E-11     0.00      0.0   10.  300.  5 C NN
H+          HCN                     HCN+        H                                   1.05E-08    -0.13      0.0  205.  565.  5 A CE
H3+         CN                      HCN+        H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
N           CH2+                    HCN+        H                                   2.20E-10     0.00      0.0   10.41000.  5 A IN
H2          C4+                     C4H+        H                                   3.00E-10     0.00      0.0   10.41000.  5 A IN
C           H2C3H+                  C4H+        H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C3H3+                   C4H+        H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C3H3+                   C4H2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C3H3+       E-                      C3H2        H                                   7.00E-07    -0.50      0.0   10.  300.  5 B DR
N                                   N+          E-                                  2.70E-17     0.00      0.0   10.41000.  1 C CP
H-          O                       OH          E-                                  1.00E-09     0.00      0.0   10.41000.  5 C AD
H-          C                       CH          E-                                  1.00E-09     0.00      0.0   10.41000.  5 C AD
H2                                  H+          H-                                  3.90E-21     0.00      0.0   10.41000.  1 C CP
C           HS                      CS          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
N           HS                      NS          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
H3O+        Si                      SiH+        H2O                                 1.80E-09     0.00      0.0   10.41000.  5 C IN
He+         Si                      Si+         He                                  3.30E-09     0.00      0.0   10.41000.  5 C CE
H3+         Si                      SiH+        H2                                  3.70E-09     0.00      0.0   10.41000.  5 C IN
C+          Si                      Si+         C                                   2.10E-09     0.00      0.0   10.41000.  5 C CE
Si                                  Si+         E-                                  1.30E-17     0.00   2115.0   10.41000.  2 C CR
SiOH+       E-                      Si          OH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiH+        E-                      Si          H                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
OH          Si+                     SiO+        H                                   6.30E-10    -0.50      0.0   10.41000.  5 C IN
Mg          Si+                     Si          Mg+                                 2.90E-09     0.00      0.0   10.41000.  5 C CE
Na          Si+                     Si          Na+                                 2.70E-09     0.00      0.0   10.41000.  5 C CE
CH2         Si+                     HCSi+       H                                   8.70E-10     0.00      0.0   10.41000.  5 C IN
Si+         Fe                      Fe+         Si                                  1.90E-09     0.00      0.0   10.41000.  5 C CE
CH          Si+                     SiC+        H                                   6.30E-10    -0.50      0.0   10.41000.  5 C IN
C2H         Si+                     SiC2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
H2O         Si+                     SiOH+       H                                   2.30E-10    -0.50      0.0   10.41000.  5 A IN
H2          Si+                     SiH2+                                           3.00E-18     0.00      0.0   10.  300.  5 C RA
H2          C2S+                    HC2S+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C2H2+       S                       C2S+        H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
H3O+        CS                      HCS+        H2O                                 1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         CS                      S           C+          He                      1.30E-09    -0.50      0.0   10.41000.  5 C IN
He+         CS                      S+          C           He                      1.30E-09    -0.50      0.0   10.41000.  5 C IN
H3+         CS                      HCS+        H2                                  2.90E-09    -0.50      0.0   10.41000.  5 C IN
H+          CS                      CS+         H                                   4.90E-09    -0.50      0.0   10.41000.  5 C CE
HCO+        CS                      HCS+        CO                                  1.20E-09    -0.50      0.0   10.41000.  5 C IN
O           HCS                     OH          CS                                  5.00E-11     0.00      0.0   10.  300.  5 C NN
NS+         E-                      S           N                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
N           SO+                     NS+         O                                   5.00E-11     0.00      0.0   10.41000.  5 A IN
O           HCO2+                   O2          HCO+                                1.00E-09     0.00      0.0   10.41000.  5 C IN
HCO2+       E-                      CO          O           H                       8.10E-07    -0.64      0.0   10.  300.  5 A DR
C           HCO2+                   CO2         CH+                                 1.00E-09     0.00      0.0   10.41000.  5 C IN
HCO2+       E-                      CO          OH                                  3.20E-07    -0.64      0.0   10.  300.  5 A DR
OH          HCO+                    HCO2+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
H2          CO2+                    HCO2+       H                                   9.50E-10     0.00      0.0   10.41000.  5 A IN
H2          O+                      OH+         H                                   1.70E-09     0.00      0.0   10.41000.  5 A IN
O                                   O+          E-                                  3.40E-17     0.00      0.0   10.41000.  1 C CP
He+         OH                      O+          He          H                       1.10E-09    -0.50      0.0   10.41000.  5 C IN
H2          C6+                     C6H+        H                                   5.40E-11     0.00      0.0   10.41000.  5 A IN
O           C4                      C3          CO                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
N           C4                      C3          CN                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
C           C3H                     C4          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
He+         C5                      C3+         C2          He                      1.00E-09     0.00      0.0   10.41000.  5 C IN
He+         C5                      C4+         C           He                      1.00E-09     0.00      0.0   10.41000.  5 C IN
N           C5                      CN          C4                                  1.00E-13     0.00      0.0   10.  300.  5 C NN
H3+         C5                      C5H+        H2                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
H+          C5                      C5+         H                                   4.00E-09     0.00      0.0   10.  300.  5 C CE
C+          C5                      C6+                                             1.00E-09     0.00      0.0   10.  300.  5 C RA
HCO+        C5                      C5H+        CO                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
C5                                  C3          C2                                  1.30E-17     0.00    500.0   10.41000.  2 A CR
C5                                  C4          C                                   1.30E-17     0.00    500.0   10.41000.  2 A CR
O           C6                      C5          CO                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
O           C3H                     CO          C2H                                 1.70E-11     0.00      0.0   10.  300.  5 C NN
H2          C8+                     C8H+        H                                   4.70E-12     0.00      0.0   10.  300.  5 C IN
He+         C7                      C5+         C2          He                      1.40E-09     0.00      0.0   10.41000.  5 C IN
He+         C7                      C6+         C           He                      1.40E-09     0.00      0.0   10.41000.  5 C IN
N           C7                      CN          C6                                  1.00E-13     0.00      0.0   10.  300.  5 C NN
H3+         C7                      C7H+        H2                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
H+          C7                      C7+         H                                   4.00E-09     0.00      0.0   10.  300.  5 C CE
C+          C7                      C8+                                             1.00E-09     0.00      0.0   10.  300.  5 C RA
HCO+        C7                      C7H+        CO                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
C7                                  C6          C                                   1.30E-17     0.00    500.0   10.41000.  2 B CR
O           C8                      C7          CO                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
N           C6                      CN          C5                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
C6H2+       E-                      C6          H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C6H+        E-                      C6          H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C           C5H                     C6          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C           C6H2+                   C7+         H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
O           C6H2+                   C5H         HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
N           C6H2+                   C5H+        HCN                                 1.90E-10     0.00      0.0   10.41000.  5 B IN
H2          C6H+                    C6H2+       H                                   1.30E-12     0.00      0.0   10.41000.  5 A IN
O           C5H                     C4H         CO                                  1.70E-11     0.00      0.0   10.  300.  5 C NN
C6H+        E-                      C5H         C                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
H2          C3+                     C3H+        H                                   2.40E-10     0.00      0.0   10.41000.  5 A IN
C           C2H+                    C3+         H                                   1.10E-09     0.00      0.0   10.41000.  5 C IN
He+         C3H                     C3+         He          H                       2.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          C2H                     C3+         H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
O           HCS                     OCS         H                                   5.00E-11     0.00      0.0   10.  300.  5 C NN
N           HCS                     S           HCN                                 1.00E-10     0.00      0.0   10.  300.  5 C NN
C           SO                      S           CO                                  3.50E-11     0.00      0.0   10.  300.  5 C NN
C           SO                      CS          O                                   3.50E-11     0.00      0.0   10.  300.  5 C NN
NO+         E-                      O           N                                   4.30E-07    -0.37      0.0   10.  300.  5 A DR
N           OH+                     NO+         H                                   8.90E-10     0.00      0.0   10.41000.  5 C IN
N           O2+                     NO+         O                                   1.80E-10     0.00      0.0   10.41000.  5 A IN
O2+         E-                      O           O                                   1.95E-07    -0.70      0.0   10.  300.  5 A DR
C           O2+                     O2          C+                                  5.20E-11     0.00      0.0   10.41000.  5 C CE
O           OH+                     O2+         H                                   7.10E-10     0.00      0.0   10.41000.  5 C IN
O           H2O+                    O2+         H2                                  4.00E-11     0.00      0.0   10.41000.  5 A IN
O           HNO                     NO          OH                                  6.00E-11     0.00      0.0   10. 2500.  5 A NN
C+          CH2CO                   CH2CO+      C                                   2.00E-09    -0.50      0.0   10.41000.  5 C CE
He+         CH2CO                   CO          CH2+        He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         CH2CO                   CO+         CH2         He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
C           C3H2                    C4H         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C           C3H3                    H2CCCC      H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
N           C3H3                    HC3N        H2                                  8.00E-11     0.00      0.0   10.  300.  5 C NN
H3O+        HC3N                    HC3NH+      H2O                                 4.00E-09    -0.50      0.0   10.41000.  5 A IN
H3+         HC3N                    HC3NH+      H2                                  9.10E-09    -0.50      0.0   10.41000.  5 A IN
He+         HC3N                    C2N+        CH          He                      2.84E-09    -0.50      0.0   10.41000.  5 A IN
He+         HC3N                    C3N+        He          H                       2.45E-09    -0.50      0.0   10.41000.  5 A IN
He+         HC3N                    CN          C2H+        He                      2.20E-09    -0.50      0.0   10.41000.  5 A IN
C+          HC3N                    C3H+        CN                                  3.25E-09    -0.50      0.0   10.41000.  5 A IN
CH5+        HC3N                    HC3NH+      CH4                                 4.50E-09    -0.50      0.0   10.41000.  5 A IN
HC3NH+      E-                      HC3N        H                                   7.31E-07    -0.58      0.0   10.  300.  5 C DR
CH3C3NH+    E-                      HC3N        CH3                                 1.00E-06    -0.30      0.0   10.  300.  5 C DR
C           NS                      S           CN                                  1.50E-10    -0.16      0.0   10.  300.  5 C NN
O           NS                      S           NO                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
N           NS                      S           N2                                  3.00E-11    -0.60      0.0   10.  300.  5 C NN
O           SiH+                    SiO+        H                                   4.00E-10     0.00      0.0   10.41000.  5 C IN
C           SiH+                    SiC+        H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
SiOH+       E-                      SiO         H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
H2          SiO+                    SiOH+       H                                   3.20E-10     0.00      0.0   10.41000.  5 A IN
CH3+        Mg                      Mg+         CH3                                 3.50E-09     0.00      0.0   10.41000.  5 C CE
C+          Mg                      Mg+         C                                   1.10E-09     0.00      0.0   10.41000.  5 C CE
Mg          HCO+                    HCO         Mg+                                 2.90E-09     0.00      0.0   10.41000.  5 C CE
CH5+        Mg                      Mg+         CH4         H                       1.40E-09     0.00      0.0   10.41000.  5 A IN
H3+         Mg                      Mg+         H2          H                       1.00E-09     0.00      0.0   10.41000.  5 C IN
H+          Mg                      Mg+         H                                   1.10E-09     0.00      0.0   10.41000.  5 C CE
Mg          H2CO+                   H2CO        Mg+                                 2.90E-09     0.00      0.0   10.41000.  5 C CE
Mg+         E-                      Mg                                              2.80E-12    -0.86      0.0   10.  300.  5 C RR
H-          Mg+                     Mg          H                                   2.30E-07    -0.50      0.0   10.  300.  5 C II
H3O+        Na                      Na+         H2O         H                       3.10E-09     0.00      0.0   10.41000.  5 C IN
CH3+        Na                      Na+         CH3                                 3.40E-09     0.00      0.0   10.41000.  5 C CE
H-          Na+                     Na          H                                   2.30E-07    -0.50      0.0   10.  300.  5 C II
Na+         E-                      Na                                              2.70E-12    -0.69      0.0   10.  300.  5 C RR
H2          HCSi+                   SiCH2+      H                                   1.50E-09     0.00      0.0   10.  300.  5 C IN
H2          SiC+                    HCSi+       H                                   1.50E-09     0.00      0.0   10.  300.  5 C IN
H2          SiC2+                   SiC2H+      H                                   1.50E-09     0.00      0.0   10.  300.  5 C IN
C           SiCH2+                  SiC2+       H2                                  1.00E-10     0.00      0.0   10.  300.  5 C IN
O           SiH2+                   SiOH+       H                                   6.30E-10     0.00      0.0   10.41000.  5 C IN
C           SiH2+                   HCSi+       H                                   1.10E-09     0.00      0.0   10.41000.  5 C IN
SiH2+       E-                      Si          H           H                       2.00E-07    -0.50      0.0   10.  300.  5 C DR
SiH2+       E-                      Si          H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiH2+       E-                      SiH         H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C           HC2S+                   C3S+        H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
HC2S+       E-                      CS          CH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
HC2S+       E-                      C2S         H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C2H3+       S                       HC2S+       H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C2H4+       S                       HC2S+       H2          H                       1.00E-09     0.00      0.0   10.41000.  5 C IN
H2          C8H+                    C8H2+       H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
N           C8                      CN          C7                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
C8H2+       E-                      C8          H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
O           C9H+                    C8          HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
C           C7H                     C8          H                                   2.00E-10     0.00      0.0   10.  300.  5 C NN
C10+        E-                      C8          C2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
OCS                                 S           CO                                  1.30E-17     0.00   2680.0   10.41000.  2 C CR
C+          OCS                     CS+         CO                                  1.60E-09     0.00      0.0   10.41000.  5 A IN
He+         OCS                     CS+         O           He                      7.60E-10     0.00      0.0   10.41000.  5 C IN
He+         OCS                     CS          O+          He                      7.60E-10     0.00      0.0   10.41000.  5 C IN
He+         OCS                     S+          CO          He                      7.60E-10     0.00      0.0   10.41000.  5 C IN
He+         OCS                     S           CO+         He                      7.60E-10     0.00      0.0   10.41000.  5 C IN
H3+         OCS                     HOCS+       H2                                  1.90E-09     0.00      0.0   10.41000.  5 A IN
OCS                                 OCS+        E-                                  1.30E-17     0.00    722.0   10.41000.  2 C CR
H+          OCS                     HS+         CO                                  2.10E-09     0.00      0.0   10.41000.  5 A IN
H+          OCS                     OCS+        H                                   2.10E-09     0.00      0.0   10.  300.  5 A CE
CH3+        OCS                     H3CS+       CO                                  1.30E-09     0.00      0.0   10.41000.  5 A IN
C+          OCS                     OCS+        C                                   4.00E-10     0.00      0.0   10.41000.  5 A CE
HCO+        OCS                     HOCS+       CO                                  1.10E-09     0.00      0.0   10.41000.  5 A IN
CH2CO+      E-                      C2H2        O                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
CH2CO+      E-                      CO          CH2                                 2.00E-07    -0.50      0.0   10.  300.  5 C DR
CH2CO+      E-                      C2          H2O                                 2.00E-07    -0.50      0.0   10.  300.  5 C DR
OH          C2H2+                   CH2CO+      H                                   6.40E-10    -0.50      0.0   10.41000.  5 C IN
C           H2CCCC                  C5H         H                                   6.50E-10     0.00      0.0   10.  300.  5 A NN
C2H         C2H2                    H2CCCC      H                                   1.31E-10     0.00    -25.0  143. 3400.  5 A NN
C4H3+       E-                      H2CCCC      H                                   3.10E-07    -0.50      0.0   10.  300.  5 A DR
HC3NH+      E-                      C2H2        CN                                  7.20E-07    -0.58      0.0   10.  300.  5 C DR
N           H2C3H+                  HC3NH+      H                                   1.30E-10     0.00      0.0   10.41000.  5 C IN
H2          C3N+                    HC3N+       H                                   1.50E-09     0.00      0.0   10.41000.  5 A IN
N           C3H+                    C3N+        H                                   2.70E-10     0.00      0.0   10.41000.  5 B IN
He+         C3N                     C3N+        He                                  8.20E-09    -0.50      0.0   10.41000.  5 C CE
C           CH3C3NH+                H3C5N+      H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
CH3C3NH+    E-                      CH3C3N      H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
H2          CH3C3N+                 CH3C3NH+    H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
H3O+        SiO                     SiOH+       H2O                                 2.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         SiO                     Si          O+          He                      8.60E-10    -0.50      0.0   10.41000.  5 C IN
He+         SiO                     Si+         O           He                      8.60E-10    -0.50      0.0   10.41000.  5 C IN
H3+         SiO                     SiOH+       H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          SiO                     SiO+        H                                   3.30E-09    -0.50      0.0   10.41000.  5 C CE
OH          Si                      SiO         H                                   1.00E-10     0.00      0.0   10. 3560.  5 A NN
O           SiCH2+                  H2CO        Si+                                 6.00E-10     0.00      0.0   10.41000.  5 C IN
C           SiCH2+                  Si+         C2H2                                1.00E-09     0.00      0.0   10.41000.  5 C IN
O           SiCH2+                  SiH         HCO+                                3.00E-10     0.00      0.0   10.41000.  5 C IN
N           SiCH2+                  Si+         HCN         H                       7.60E-10     0.00      0.0   10.41000.  5 C IN
SiCH2+      E-                      Si          CH2                                 2.00E-07    -0.50      0.0   10.  300.  5 C DR
SiCH2+      E-                      SiC         H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiCH2+      E-                      HCSi        H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C           SiC2H+                  SiC3+       H                                   3.00E-10     0.00      0.0   10.  300.  5 C IN
SiC2H+      E-                      Si          C2H                                 1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiC2H+      E-                      SiC2        H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
H2          SiC2H+                  SiC2H3+                                         3.00E-16    -1.00      0.0   10.  300.  5 C RA
C           SiCH2+                  SiC2H+      H                                   1.00E-10     0.00      0.0   10.  300.  5 C IN
C2H3+       Si                      SiC2H+      H2                                  2.00E-10     0.00      0.0   10.41000.  5 C IN
O           SiH                     SiO         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
N           SiH                     SiN         H                                   1.66E-10    -0.09      0.0   10.  300.  5 C NN
C           SiH                     SiC         H                                   6.59E-11     0.00      0.0   10.  300.  5 C NN
C3S+        E-                      C3          S                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
C3S+        E-                      CS          C2                                  1.00E-07    -0.50      0.0   10.  300.  5 C DR
C3S+        E-                      C2S         C                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
H3O+        C2S                     HC2S+       H2O                                 1.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         C2S                     HC2S+       H2                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          C2S                     C3+         S                                   5.00E-10    -0.50      0.0   10.41000.  5 C IN
C+          C2S                     C2S+        C                                   5.00E-10    -0.50      0.0   10.  300.  5 C CE
He+         C2S                     CS+         C           He                      2.50E-10    -0.50      0.0   10.41000.  5 C IN
He+         C2S                     S+          C2          He                      2.50E-10    -0.50      0.0   10.41000.  5 C IN
He+         C2S                     S           C2+         He                      2.50E-10    -0.50      0.0   10.41000.  5 C IN
He+         C2S                     CS          C+          He                      2.50E-10    -0.50      0.0   10.41000.  5 C IN
HC3S+       E-                      C2S         CH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
C2H         S                       C2S         H                                   1.70E-11     0.00      0.0   10.  300.  5 C NN
HC4S+       E-                      C2S         C2H                                 1.00E-07    -0.50      0.0   10.  300.  5 C DR
C8H2+       E-                      C8H         H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C           C8H2+                   C9+         H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C8H2+                   C9H+        H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
O           C8H2+                   C7H         HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
C           C9H+                    C10+        H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
C9H+        E-                      C8H         C                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C9H+        E-                      C9          H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
H2          C9+                     C9H+        H                                   4.10E-11     0.00      0.0   10.  300.  5 C IN
O           C7H                     C6H         CO                                  1.70E-11     0.00      0.0   10.  300.  5 C NN
C10+        E-                      C9          C                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
HOCS+       E-                      CS          OH                                  2.00E-07    -0.50      0.0   10.  300.  5 C DR
HOCS+       E-                      OCS         H                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
CH3+        SO                      HOCS+       H2                                  9.50E-10    -0.50      0.0   10.41000.  5 C IN
OCS+        E-                      S           CO                                  2.91E-07    -0.62      0.0   10.  300.  5 A DR
OCS+        E-                      CS          O                                   4.90E-08    -0.62      0.0   10.  300.  5 A DR
O           HCS+                    OCS+        H                                   5.00E-12     0.00      0.0   10.41000.  5 C IN
H3CS+       E-                      CS          H2          H                       3.00E-07    -0.50      0.0   10.  300.  5 C DR
H3CS+       E-                      H2CS        H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
CH4         S+                      H3CS+       H                                   3.80E-10     0.00      0.0   10.41000.  5 A IN
C           C4H3+                   C5H+        H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C4H3+                   C5H2+       H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
C4H3+       E-                      C4H         H2                                  3.10E-07    -0.50      0.0   10.  300.  5 A DR
H           C4H2+                   C4H3+                                           7.00E-11    -0.10      0.0   10.  300.  5 A RA
CH3+        C3H2                    C4H3+       H2                                  2.70E-09    -0.50      0.0   10.41000.  5 C IN
H2          HC3N+                   HC3NH+      H                                   5.00E-12     0.00      0.0   10.41000.  5 A IN
H2          HC3N+                   HCN         C2H2+                               2.00E-12     0.00      0.0   10.41000.  5 A IN
O           C3N                     C2N         CO                                  4.00E-11     0.00      0.0   10.  300.  5 C NN
N           C3N                     CN          C2N                                 1.00E-10     0.00      0.0   10.  300.  5 C NN
N           C3H                     C3N         H                                   1.70E-11     0.00      0.0   10.  300.  5 C NN
H3C5N+      E-                      C5N         H2          H                       1.00E-06    -0.30      0.0   10.  300.  5 C DR
H3C5N+      E-                      HC5N        H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
He+         CH3C3N                  C3N         CH3+        He                      7.00E-08     0.00      0.0   10.41000.  5 C IN
H2          H2C4N+                  CH3C3N+     H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
O           SiC                     SiO         C                                   5.00E-11     0.00      0.0   10.  300.  5 C NN
O           SiC                     Si          CO                                  5.00E-11     0.00      0.0   10.  300.  5 C NN
N           SiC                     Si          CN                                  5.00E-11     0.00      0.0   10.  300.  5 C NN
N           SiC                     SiN         C                                   5.00E-11     0.00      0.0   10.  300.  5 C NN
SiC3+       E-                      SiC         C2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
O           SiC2                    SiC         CO                                  4.00E-11     0.00      0.0   10.  300.  5 C NN
O           HCSi                    SiO         CH                                  2.00E-11     0.00      0.0   10.  300.  5 C NN
CH2         Si                      HCSi        H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
SiC3+       E-                      SiC2        C                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
Si          C3H2+                   SiC3+       H2                                  2.00E-10     0.00      0.0   10.41000.  5 C IN
C2H2        Si                      SiC2        H2                                  1.30E-10    -0.71     29.0   15.  300.  5 B NN
SiC2H2+     E-                      SiC2        H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiC4+       E-                      SiC2        C2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
O           SiC3                    SiC2        CO                                  4.00E-11     0.00      0.0   10.  300.  5 C NN
C           SiC2H3+                 SiC3H2+     H                                   2.00E-10     0.00      0.0   10.  300.  5 C IN
SiC2H3+     E-                      SiC2H       H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiC2H3+     E-                      SiC2H2      H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C           SiCH4+                  SiC2H3+     H                                   2.00E-10     0.00      0.0   10.  300.  5 C IN
C2H4+       Si                      SiC2H3+     H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
O           SiN                     NO          Si                                  5.00E-11     0.00      0.0   10.  300.  5 C NN
H2          C2+                     C2H+        H                                   1.10E-09     0.00      0.0   10.41000.  5 A IN
C           CH+                     C2+         H                                   1.20E-09     0.00      0.0   10.41000.  5 C IN
HC3S+       E-                      C3S         H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
S           C3H2+                   HC3S+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
S           H2C3H+                  HC3S+       H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
S           C3H3+                   HC3S+       H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
HC4S+       E-                      C3S         CH                                  1.00E-07    -0.50      0.0   10.  300.  5 C DR
HC4S+       E-                      C4S         H                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
S           C4H2+                   HC4S+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C8H                     C9          H                                   2.00E-10     0.00      0.0   10.  300.  5 C NN
O           C8H                     C7H         CO                                  1.70E-11     0.00      0.0   10.  300.  5 C NN
N           C8H                     CN          C7H                                 1.00E-10     0.00      0.0   10.  300.  5 C NN
