H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
H2          NH+                     NH2+        H                                   1.28E-09     0.00      0.0   10.41000.  5 A IN
He+         NH2CN                   NH2+        CN          He                      1.00E-09     0.00      0.0   10.41000.  5 C IN
HCO+        NH2CN                   NH2CNH+     CO                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
H3+         NH2CN                   NH2CNH+     H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
CH4N+       E-                      HCN         H2          H                       3.00E-07    -0.50      0.0   10.  300.  5 C DR
CH4N+       E-                      CN          H2          H2                      3.00E-08    -0.50      0.0   10.  300.  5 C DR
CH3+        NH2                     CH4N+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
H3O+        CH2NH                   CH2NH2+     H2O                                 1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         CH2NH                   NH          CH2+        He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          CH2NH                   NH2         CH2+                                1.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          CH2NH                   NH2+        CH2                                 1.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        CH2NH                   CH2NH2+     CO                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
CH3CNH+     E-                      CH2CN       H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
H2          CH3CN+                  CH3CNH+     H                                   5.70E-10     0.00      0.0   10.41000.  5 B IN
N           C2H4+                   CH3CN+      H                                   3.00E-10     0.00      0.0   10.41000.  5 B IN
CNC+        E-                      CN          C                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
H2          CN+                     HCN+        H                                   1.00E-09     0.00      0.0   10.41000.  5 A IN
He+         OCN                     CN+         O           He                      3.00E-09     0.00      0.0   10.41000.  5 C IN
C2N+        E-                      C2          N                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C2N+        E-                      CN          C                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
N           C2H2+                   C2N+        H2                                  7.50E-11     0.00      0.0   10.41000.  5 A IN
C           NCCN                    CN          C2N                                 3.00E-11     0.00      0.0  300.  300.  5 C NN
N           NCCN                    N2          C2N                                 1.00E-11     0.00      0.0  300.  300.  5 C NN
He+         N2                      N+          N           He                      9.60E-10     0.00      0.0   10.41000.  5 A IN
He+         N2                      N2+         He                                  6.40E-10     0.00      0.0   10.41000.  5 A CE
H3S+        E-                      HS          H           H                       1.85E-07    -0.50      0.0   10.  300.  5 A DR
H2          HS+                     H3S+                                            2.40E-16    -0.80      0.0   10.  300.  5 C RA
C           H2S+                    HCS+        H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
O           H2S+                    HS+         OH                                  3.10E-10     0.00      0.0   10.41000.  5 C IN
O           H2S+                    SO+         H2                                  3.10E-10     0.00      0.0   10.41000.  5 C IN
N           H2S+                    NS+         H2                                  7.90E-10     0.00      0.0   10.41000.  5 C IN
H2          S+                      H2S+                                            1.00E-17    -0.20      0.0   10.  300.  5 A RA
Si          S+                      S           Si+                                 1.60E-09     0.00      0.0   10.41000.  5 C CE
C2H         S+                      C2S+        H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
CH          S+                      CS+         H                                   6.20E-10    -0.50      0.0   10.41000.  5 C IN
OH          S+                      SO+         H                                   6.10E-10    -0.50      0.0   10.41000.  5 C IN
HCO         S+                      S           HCO+                                3.60E-10    -0.50      0.0   10.41000.  5 C CE
HCO         S+                      HS+         CO                                  3.60E-10    -0.50      0.0   10.41000.  5 C IN
Mg          S+                      S           Mg+                                 2.80E-10     0.00      0.0   10.41000.  5 C CE
Na          S+                      S           Na+                                 2.60E-10     0.00      0.0   10.41000.  5 C CE
S+          Fe                      Fe+         S                                   1.80E-10     0.00      0.0   10.41000.  5 C CE
O           HS+                     S+          OH                                  2.90E-10     0.00      0.0   10.41000.  5 C IN
H2CO+       S                       S+          H2CO                                5.50E-10     0.00      0.0   10.41000.  5 C CE
HCS+        E-                      CH          S                                   7.87E-07    -0.57      0.0   10.  300.  5 A DR
HCS+        E-                      CS          H                                   1.84E-07    -0.57      0.0   10.  300.  5 A DR
O           HCS+                    S           HCO+                                5.00E-12     0.00      0.0   10.41000.  5 C IN
O           HCS+                    OCS+        H                                   5.00E-12     0.00      0.0   10.41000.  5 C IN
CH3+        S                       HCS+        H2                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
H2          CS+                     HCS+        H                                   4.50E-10     0.00      0.0   10.41000.  5 B IN
C           HS+                     CS+         H                                   9.90E-10     0.00      0.0   10.41000.  5 C IN
O           HS+                     SO+         H                                   2.90E-10     0.00      0.0   10.41000.  5 C IN
N           HS+                     NS+         H                                   7.40E-10     0.00      0.0   10.41000.  5 C IN
CH5+        S                       HS+         CH4                                 1.30E-09     0.00      0.0   10.41000.  5 C IN
H3+         S                       HS+         H2                                  2.60E-09     0.00      0.0   10.41000.  5 C IN
HCO+        S                       HS+         CO                                  3.30E-10     0.00      0.0   10.41000.  5 C IN
H2CO+       S                       HS+         HCO                                 5.50E-10     0.00      0.0   10.41000.  5 C IN
H3CS+       E-                      CS          H2          H                       3.00E-07    -0.50      0.0   10.  300.  5 C DR
H3CS+       E-                      H2CS        H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
CH4         S+                      H3CS+       H                                   3.80E-10     0.00      0.0   10.41000.  5 A IN
CH3+        OCS                     H3CS+       CO                                  1.30E-09     0.00      0.0   10.41000.  5 A IN
H2          F+                      HF+         H                                   3.80E-10     0.00      0.0   10.41000.  5 A IN
H2F+        E-                      HF          H                                   3.50E-07    -0.50      0.0   10.  300.  5 B DR
H2          HF+                     H2F+        H                                   1.30E-09     0.00      0.0   10.41000.  5 A IN
C           C4H                     C5          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
O           C4H                     C3H         CO                                  1.70E-11     0.00      0.0   10.  300.  5 C NN
H2          C3H+                    C3H3+                                           1.69E-12    -1.00      0.0   10.  300.  5 A RA
H2O         HCO+                    HCOOH2+                                         4.00E-13    -1.30      0.0   10.  300.  5 C RA
CH4         O2+                     HCOOH2+     H                                   3.80E-12    -1.80      0.0   10.  300.  5 C IN
H2          C3+                     C3H+        H                                   2.40E-10     0.00      0.0   10.41000.  5 A IN
C           C2H+                    C3+         H                                   1.10E-09     0.00      0.0   10.41000.  5 C IN
N           C2N                     CN          CN                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
O           C2N                     CO          CN                                  6.00E-12     0.00      0.0  298.  298.  5 A NN
O           C2H4+                   CH3+        HCO                                 1.08E-10     0.00      0.0   10.41000.  5 B IN
C           C9H+                    C10+        H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
O           C8                      C7          CO                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
N           C8                      CN          C7                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
O           C9H+                    C8          HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
N           C9                      CN          C8                                  1.00E-13     0.00      0.0   10.  300.  5 C NN
H+          C9                      C9+         H                                   4.00E-09     0.00      0.0   10.  300.  5 C CE
He+         C9                      C8+         C           He                      1.50E-09     0.00      0.0   10.41000.  5 C IN
He+         C9                      C7+         C2          He                      1.50E-09     0.00      0.0   10.41000.  5 C IN
C+          C9                      C10+                                            1.00E-09     0.00      0.0   10.  300.  5 C RA
HCO+        C9                      C9H+        CO                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
C           C8H                     C9          H                                   2.00E-10     0.00      0.0   10.  300.  5 C NN
C9H+        E-                      C9          H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C           C6H                     C7          H                                   2.00E-10     0.00      0.0   10.  300.  5 C NN
N           C5                      CN          C4                                  1.00E-13     0.00      0.0   10.  300.  5 C NN
H+          C5                      C5+         H                                   4.00E-09     0.00      0.0   10.  300.  5 C CE
HCO+        C5                      C5H+        CO                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
C+          C5                      C6+                                             1.00E-09     0.00      0.0   10.  300.  5 C RA
He+         C5                      C4+         C           He                      1.00E-09     0.00      0.0   10.41000.  5 C IN
He+         C5                      C3+         C2          He                      1.00E-09     0.00      0.0   10.41000.  5 C IN
N           C2H3+                   C2NH+       H2                                  2.20E-10     0.00      0.0   10.41000.  5 C IN
N           C7                      CN          C6                                  1.00E-13     0.00      0.0   10.  300.  5 C NN
H+          C7                      C7+         H                                   4.00E-09     0.00      0.0   10.  300.  5 C CE
He+         C7                      C6+         C           He                      1.40E-09     0.00      0.0   10.41000.  5 C IN
He+         C7                      C5+         C2          He                      1.40E-09     0.00      0.0   10.41000.  5 C IN
C+          C7                      C8+                                             1.00E-09     0.00      0.0   10.  300.  5 C RA
HCO+        C7                      C7H+        CO                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
O           C3H                     CO          C2H                                 1.70E-11     0.00      0.0   10.  300.  5 C NN
O           C4H2+                   HC3O+       CH                                  1.35E-11     0.00      0.0   10.41000.  5 B IN
C           C3O                     C3          CO                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
O           C8H                     C7H         CO                                  1.70E-11     0.00      0.0   10.  300.  5 C NN
N           C8H                     CN          C7H                                 1.00E-10     0.00      0.0   10.  300.  5 C NN
C9H+        E-                      C8H         C                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
H2          HC5N+                   H2C5N+      H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
O           C5N                     C4N         CO                                  4.00E-11     0.00      0.0   10.  300.  5 C NN
N           C5N                     CN          C4N                                 1.00E-10     0.00      0.0   10.  300.  5 C NN
N           C5H                     C5N         H                                   1.70E-11     0.00      0.0   10.  300.  5 C NN
H3C5N+      E-                      C5N         H2          H                       1.00E-06    -0.30      0.0   10.  300.  5 C DR
N           C7N                     C2N         C5N                                 1.00E-10     0.00      0.0   10.  300.  5 C NN
C+          HC5N                    C5H+        CN                                  6.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        HC5N                    H2C5N+      CO                                  8.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          HC5N                    HC5N+       H                                   4.00E-09    -0.50      0.0   10.41000.  5 C CE
H3+         HC5N                    H2C5N+      H2                                  8.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         HC5N                    C3N         C2H+        He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         HC5N                    C4H+        CN          He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
H3C5N+      E-                      HC5N        H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
H2          C5N+                    HC5N+       H                                   1.50E-09     0.00      0.0   10.  300.  5 C IN
CH2         S                       HCS         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
CH2         S                       CS          H2                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
C2H         S                       C2S         H                                   1.70E-11     0.00      0.0   10.  300.  5 C NN
OH          S                       SO          H                                   6.60E-11     0.00      0.0  298.  298.  5 A NN
CH          S                       CS          H                                   5.00E-11     0.00      0.0   10.  300.  5 C NN
C2          S                       CS          C                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
S           C4H2+                   HC4S+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
N           HCS                     S           HCN                                 1.00E-10     0.00      0.0   10.  300.  5 C NN
O           NS+                     S           NO+                                 6.10E-10     0.00      0.0   10.41000.  5 C IN
C           SO                      S           CO                                  3.50E-11     0.00      0.0   10.  300.  5 C NN
SO+         E-                      S           O                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
HCO+        Fe                      Fe+         HCO                                 1.90E-09     0.00      0.0   10.41000.  5 C CE
CH3+        Fe                      Fe+         CH3                                 2.40E-09     0.00      0.0   10.41000.  5 C CE
H2CO+       Fe                      Fe+         H2CO                                1.90E-09     0.00      0.0   10.41000.  5 C CE
H3+         Fe                      Fe+         H2          H                       4.90E-09     0.00      0.0   10.41000.  5 C IN
Fe+         E-                      Fe                                              3.70E-12    -0.65      0.0   10.  300.  5 C RR
Na          Fe+                     Fe          Na+                                 1.00E-11     0.00      0.0   10.41000.  5 C CE
H-          Fe+                     Fe          H                                   2.30E-07    -0.50      0.0   10.  300.  5 C II
H3O+        Si                      SiH+        H2O                                 1.80E-09     0.00      0.0   10.41000.  5 C IN
CH2         Si                      HCSi        H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
He+         Si                      Si+         He                                  3.30E-09     0.00      0.0   10.41000.  5 C CE
Si          O2                      SiO         O                                   1.72E-10    -0.53     17.0   10.  300.  5 C NN
Si          HCO+                    SiH+        CO                                  1.60E-09     0.00      0.0   10.41000.  5 C IN
Si          H2CO+                   H2CO        Si+                                 2.00E-09     0.00      0.0   10.41000.  5 C CE
OH          Si                      SiO         H                                   1.00E-10     0.00      0.0   10. 3560.  5 A NN
H3+         Si                      SiH+        H2                                  3.70E-09     0.00      0.0   10.41000.  5 C IN
SiOH+       E-                      Si          OH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiH+        E-                      Si          H                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
O           SiC                     Si          CO                                  5.00E-11     0.00      0.0   10.  300.  5 C NN
O           SiN                     NO          Si                                  5.00E-11     0.00      0.0   10.  300.  5 C NN
Mg          Si+                     Si          Mg+                                 2.90E-09     0.00      0.0   10.41000.  5 C CE
Na          Si+                     Si          Na+                                 2.70E-09     0.00      0.0   10.41000.  5 C CE
CH2         Si+                     HCSi+       H                                   8.70E-10     0.00      0.0   10.41000.  5 C IN
Si+         Fe                      Fe+         Si                                  1.90E-09     0.00      0.0   10.41000.  5 C CE
C2H         Si+                     SiC2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
HNC         Si+                     SiNC+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
CH          Si+                     SiC+        H                                   6.30E-10    -0.50      0.0   10.41000.  5 C IN
OH          Si+                     SiO+        H                                   6.30E-10    -0.50      0.0   10.41000.  5 C IN
O           SiCH2+                  H2CO        Si+                                 6.00E-10     0.00      0.0   10.41000.  5 C IN
C           SiCH2+                  Si+         C2H2                                1.00E-09     0.00      0.0   10.41000.  5 C IN
Si                                  Si+         E-                                  1.30E-17     0.00   2115.0   10.41000.  2 C CR
Mg          HCO+                    HCO         Mg+                                 2.90E-09     0.00      0.0   10.41000.  5 C CE
CH3+        Mg                      Mg+         CH3                                 3.50E-09     0.00      0.0   10.41000.  5 C CE
Mg          H2CO+                   H2CO        Mg+                                 2.90E-09     0.00      0.0   10.41000.  5 C CE
CH5+        Mg                      Mg+         CH4         H                       1.40E-09     0.00      0.0   10.41000.  5 A IN
Mg+         E-                      Mg                                              2.80E-12    -0.86      0.0   10.  300.  5 C RR
Na          Mg+                     Mg          Na+                                 1.00E-11     0.00      0.0   10.41000.  5 C CE
H-          Mg+                     Mg          H                                   2.30E-07    -0.50      0.0   10.  300.  5 C II
H3O+        Na                      Na+         H2O         H                       3.10E-09     0.00      0.0   10.41000.  5 C IN
Na          HCO+                    HCO         Na+                                 2.60E-09     0.00      0.0   10.41000.  5 C CE
CH3+        Na                      Na+         CH3                                 3.40E-09     0.00      0.0   10.41000.  5 C CE
Na          H2CO+                   H2CO        Na+                                 2.60E-09     0.00      0.0   10.41000.  5 C CE
Na+         E-                      Na                                              2.70E-12    -0.69      0.0   10.  300.  5 C RR
H-          Na+                     Na          H                                   2.30E-07    -0.50      0.0   10.  300.  5 C II
H2          C2+                     C2H+        H                                   1.10E-09     0.00      0.0   10.41000.  5 A IN
C           CH+                     C2+         H                                   1.20E-09     0.00      0.0   10.41000.  5 C IN
He+         C2H                     C2+         He          H                       5.10E-10     0.00      0.0   10.41000.  5 C IN
C+          CH                      C2+         H                                   3.80E-10    -0.50      0.0   10.41000.  5 C IN
H3O+        P                       HPO+        H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C+          P                       P+          C                                   1.00E-09     0.00      0.0   10.  300.  5 C CE
He+         P                       P+          He                                  1.00E-09     0.00      0.0   10.  300.  5 C CE
HCO+        P                       PH+         CO                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
CH3+        P                       PCH2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
P           C4H2+                   PC4H+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
PO+         E-                      P           O                                   1.80E-07    -0.50      0.0   10.  300.  5 C DR
HPO+        E-                      P           O           H                       1.00E-07    -0.50      0.0   10.  300.  5 C DR
O           CP                      P           CO                                  4.00E-11     0.00      0.0   10.  300.  5 C NN
H2          P+                      PH2+                                            7.50E-18    -1.30      0.0   10.  300.  5 C RA
Si          P+                      P           Si+                                 1.00E-09     0.00      0.0   10.41000.  5 C CE
P                                   P+          E-                                  1.30E-17     0.00    750.0   10.41000.  2 A CR
N           O2+                     NO+         O                                   1.80E-10     0.00      0.0   10.41000.  5 A IN
C           O2+                     O2          C+                                  5.20E-11     0.00      0.0   10.41000.  5 C CE
O2+         E-                      O           O                                   1.95E-07    -0.70      0.0   10.  300.  5 A DR
O           OH+                     O2+         H                                   7.10E-10     0.00      0.0   10.41000.  5 C IN
H+          O2                      O2+         H                                   2.00E-09     0.00      0.0   10.  300.  5 A CE
O           H2O+                    O2+         H2                                  4.00E-11     0.00      0.0   10.41000.  5 A IN
He+         CO2                     CO2+        He                                  1.21E-10     0.00      0.0   10.41000.  5 A CE
H2          C8+                     C8H+        H                                   4.70E-12     0.00      0.0   10.  300.  5 C IN
H2          C7N+                    HC7N+       H                                   1.50E-09     0.00      0.0   10.  300.  5 C IN
H2          C9+                     C9H+        H                                   4.10E-11     0.00      0.0   10.  300.  5 C IN
N           C9H+                    C9N+        H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
H-          O                       OH          E-                                  1.00E-09     0.00      0.0   10.41000.  5 C AD
H-          C                       CH          E-                                  1.00E-09     0.00      0.0   10.41000.  5 C AD
H2                                  H+          H-                                  3.90E-21     0.00      0.0   10.41000.  1 C CP
O           C2H3                    CH2CO       H                                   1.60E-10     0.00      0.0   10. 2500.  5 A NN
C           C2H3                    C3H2        H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C2H4+       E-                      C2H3        H                                   6.16E-08    -0.76      0.0   10.  300.  5 C DR
CH2         CH2                     C2H3        H                                   3.32E-11     0.00      0.0 1600. 2300.  5 A NN
CH3CHOH+    E-                      CO          CH4         H                       3.00E-07    -0.50      0.0   10.  300.  5 C DR
CH3CHOH+    E-                      H2CO        CH3                                 1.50E-07    -0.50      0.0   10.  300.  5 C DR
H3O+        C2H2                    CH3CHOH+                                        4.50E-12    -1.60      0.0   10.  300.  5 C RA
CH4         H2CO+                   CH3CHOH+    H                                   1.65E-11     0.00      0.0   10.41000.  5 A IN
CH3CHO+     E-                      HCO         CH3                                 1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH3CHO+     E-                      CH2CO       H           H                       1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH3CO+      E-                      CO          CH3                                 3.00E-07    -0.50      0.0   10.  300.  5 C DR
CH3CO+      E-                      CH2CO       H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
CH3+        CO                      CH3CO+                                          1.20E-13    -1.30      0.0   10.  300.  5 C RA
H3O+        CH2CO                   CH3CO+      H2O                                 2.00E-09    -0.50      0.0   10.41000.  5 A IN
C           C3H3                    H2CCCC      H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
N           C3H3                    HC3N        H2                                  8.00E-11     0.00      0.0   10.  300.  5 C NN
C           C5H2                    C6H         H                                   5.30E-10     0.00      0.0   10.  300.  5 A NN
C2H         C3H2                    C5H2        H                                   1.06E-10    -0.25      0.0   10.  300.  5 C NN
CH3C4H+     E-                      C5H2        H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C5H3+       E-                      C5H2        H                                   4.50E-07    -0.50      0.0   10.  300.  5 B DR
O           C6H3+                   C5H2        HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
C           CH3C4H                  C6H2        H2                                  6.50E-10     0.00      0.0   10.  300.  5 A NN
C           CH3C3NH+                H3C5N+      H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
H3C7N+      E-                      C7N         H2          H                       1.00E-06    -0.30      0.0   10.  300.  5 C DR
H3C7N+      E-                      HC7N        H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C           CH3C5NH+                H3C7N+      H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
N           CH3C6H+                 H3C7N+      H                                   1.00E-10     0.00      0.0   10.41000.  5 C IN
C           C7H2                    C8H         H                                   8.40E-10     0.00      0.0   10.  300.  5 A NN
O           C8H3+                   C7H2        HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
CH3C6H+     E-                      C7H2        H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C7H3+       E-                      C7H2        H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C           CH3C6H                  C8H2        H2                                  8.00E-10     0.17      0.0   10.  300.  5 A NN
O           HNO                     NO          OH                                  6.00E-11     0.00      0.0   10. 2500.  5 A NN
H2          NH+                     N           H3+                                 2.25E-10     0.00      0.0   10.41000.  5 A IN
H2          N+                      NH+         H                                   1.00E-09     0.00     85.0   10.  300.  5 C IN
H2+         N                       NH+         H                                   1.90E-09     0.00      0.0   10.41000.  5 C IN
He+         HNC                     NH+         C           He                      5.00E-10    -0.50      0.0   10.41000.  5 C IN
NH2CNH+     E-                      NH2CN       H                                   1.00E-07    -0.50      0.0   10.41000.  5 C DR
NH2CNH+     E-                      NH2         HCN                                 1.00E-07    -0.50      0.0   10.41000.  5 C DR
CH2NH2+     E-                      NH2         CH2                                 1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH2NH2+     E-                      CH2NH       H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C           CH2CN                   HC3N        H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
He+         CN                      N+          C           He                      8.80E-10    -0.50      0.0   10.41000.  5 C IN
N                                   N+          E-                                  2.70E-17     0.00      0.0   10.41000.  1 C CP
He+         HCN                     N+          CH          He                      2.17E-10    -0.50      0.0   10.41000.  5 A IN
C           HS                      CS          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
N           HS                      NS          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
S           HS+                     HS          S+                                  9.70E-10     0.00      0.0   10.41000.  5 C CE
Mg          HS+                     HS          Mg+                                 2.60E-09     0.00      0.0   10.41000.  5 C CE
Na          HS+                     HS          Na+                                 2.20E-09     0.00      0.0   10.41000.  5 C CE
N           SO+                     NS+         O                                   5.00E-11     0.00      0.0   10.41000.  5 A IN
H2          C2S+                    HC2S+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C2H2+       S                       C2S+        H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
H3O+        CS                      HCS+        H2O                                 1.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          CS                      CS+         H                                   4.90E-09    -0.50      0.0   10.41000.  5 C CE
He+         CS                      S+          C           He                      1.30E-09    -0.50      0.0   10.41000.  5 C IN
He+         CS                      S           C+          He                      1.30E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        CS                      HCS+        CO                                  1.20E-09    -0.50      0.0   10.41000.  5 C IN
O           HCS                     OH          CS                                  5.00E-11     0.00      0.0   10.  300.  5 C NN
OCS+        E-                      S           CO                                  2.91E-07    -0.62      0.0   10.  300.  5 A DR
OCS+        E-                      CS          O                                   4.90E-08    -0.62      0.0   10.  300.  5 A DR
H+          H2CS                    H2CS+       H                                   4.70E-09    -0.50      0.0   10.41000.  5 C CE
C+          H2CS                    CS          CH2+                                1.50E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        H2CS                    H3CS+       CO                                  1.10E-09    -0.50      0.0   10.41000.  5 C IN
He+         H2CS                    S           CH2+        He                      8.10E-10    -0.50      0.0   10.41000.  5 C IN
He+         H2CS                    S+          CH2         He                      8.10E-10    -0.50      0.0   10.41000.  5 C IN
He+         H2CS                    CS+         He          H2                      8.10E-10    -0.50      0.0   10.41000.  5 C IN
CH3         S                       H2CS        H                                   1.40E-10     0.00      0.0   10.  300.  5 C NN
C+          OCS                     CS+         CO                                  1.60E-09     0.00      0.0   10.41000.  5 A IN
H+          OCS                     HS+         CO                                  2.10E-09     0.00      0.0   10.41000.  5 A IN
H+          OCS                     OCS+        H                                   2.10E-09     0.00      0.0   10.  300.  5 A CE
HCO+        OCS                     HOCS+       CO                                  1.10E-09     0.00      0.0   10.41000.  5 A IN
He+         OCS                     CS          O+          He                      7.60E-10     0.00      0.0   10.41000.  5 C IN
He+         OCS                     S+          CO          He                      7.60E-10     0.00      0.0   10.41000.  5 C IN
He+         OCS                     S           CO+         He                      7.60E-10     0.00      0.0   10.41000.  5 C IN
He+         OCS                     CS+         O           He                      7.60E-10     0.00      0.0   10.41000.  5 C IN
OCS                                 S           CO                                  1.30E-17     0.00   2680.0   10.41000.  2 C CR
C+          OCS                     OCS+        C                                   4.00E-10     0.00      0.0   10.41000.  5 A CE
O           HCS                     OCS         H                                   5.00E-11     0.00      0.0   10.  300.  5 C NN
N           C4N                     CN          C3N                                 1.00E-10     0.00      0.0   10.  300.  5 C NN
O           C4N                     C3N         CO                                  6.00E-12     0.00      0.0   10.  300.  5 C NN
N           C4H                     C4N         H                                   1.70E-11     0.00      0.0   10.  300.  5 C NN
O           C7N                     C6          OCN                                 4.00E-11     0.00      0.0   10.  300.  5 C NN
H2C7N+      E-                      C7N         H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
N           C7H                     C7N         H                                   1.70E-11     0.00      0.0   10.  300.  5 C NN
O           C3N                     C2N         CO                                  4.00E-11     0.00      0.0   10.  300.  5 C NN
N           C3N                     CN          C2N                                 1.00E-10     0.00      0.0   10.  300.  5 C NN
N           C3H                     C3N         H                                   1.70E-11     0.00      0.0   10.  300.  5 C NN
H3O+        C2S                     HC2S+       H2O                                 1.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          C2S                     C2S+        H                                   1.00E-09    -0.50      0.0   10.  300.  5 C CE
HCO+        C2S                     HC2S+       CO                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          C2S                     C3+         S                                   5.00E-10    -0.50      0.0   10.41000.  5 C IN
C+          C2S                     C2S+        C                                   5.00E-10    -0.50      0.0   10.  300.  5 C CE
He+         C2S                     S           C2+         He                      2.50E-10    -0.50      0.0   10.41000.  5 C IN
He+         C2S                     CS          C+          He                      2.50E-10    -0.50      0.0   10.41000.  5 C IN
He+         C2S                     CS+         C           He                      2.50E-10    -0.50      0.0   10.41000.  5 C IN
HC3S+       E-                      C2S         CH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
HC4S+       E-                      C2S         C2H                                 1.00E-07    -0.50      0.0   10.  300.  5 C DR
C           SO                      CS          O                                   3.50E-11     0.00      0.0   10.  300.  5 C NN
HC4S+       E-                      C3S         CH                                  1.00E-07    -0.50      0.0   10.  300.  5 C DR
HC4S+       E-                      C4S         H                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
NO+         E-                      O           N                                   4.30E-07    -0.37      0.0   10.  300.  5 A DR
N           OH+                     NO+         H                                   8.90E-10     0.00      0.0   10.41000.  5 C IN
H+          NO                      NO+         H                                   2.90E-09     0.00      0.0   10.  300.  5 A CE
O           SiH+                    SiO+        H                                   4.00E-10     0.00      0.0   10.41000.  5 C IN
C           SiH+                    SiC+        H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
N           SiH+                    SiN+        H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
O           HCSi                    SiO         CH                                  2.00E-11     0.00      0.0   10.  300.  5 C NN
